2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:57,376 - DEBUG - env step | turn=96 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,376 - DEBUG - env step | turn=97 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,376 - DEBUG - env step | turn=98 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,412 - DEBUG - env step | turn=99 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,413 - DEBUG - env step | turn=100 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,413 - DEBUG - env step | turn=101 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,414 - DEBUG - env step | turn=102 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,414 - DEBUG - env step | turn=103 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,449 - DEBUG - env step | turn=104 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,450 - DEBUG - env step | turn=105 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,450 - DEBUG - env step | turn=106 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,450 - DEBUG - env step | turn=107 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,451 - DEBUG - env step | turn=108 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,486 - DEBUG - env step | turn=109 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,487 - DEBUG - env step | turn=110 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:57,487 - DEBUG - env step | turn=111 | actions=(0, 2) | rewards=[0. 0.] | done=False
